Credit Institution Name,Type,Year,Source,Document,Unit,Intensity factor
Société Générale,Bank,2017,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2020/10/rapportBanque_OXFAM_v5.pdf,tCO2e / €m invested,652
BNP Paribas,Bank,2017,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2020/10/rapportBanque_OXFAM_v5.pdf,tCO2e / €m invested,601
Crédit Agricole,Bank,2017,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2020/10/rapportBanque_OXFAM_v5.pdf,tCO2e / €m invested,444
BPCE,Bank,2017,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2020/10/rapportBanque_OXFAM_v5.pdf,tCO2e / €m invested,379
La Banque Postale,Bank,2018,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2020/10/rapportBanque_OXFAM_v5.pdf,tCO2e / €m invested,379
Crédit Mutuel,Bank,2019,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2020/10/rapportBanque_OXFAM_v5.pdf,tCO2e / €m invested,353
Société Générale,Bank,2020,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2021/10/rapportOXFAM_BanquesetClimat_vF.pdf,tCO2e / €m invested,635
BNP Paribas,Bank,2020,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2021/10/rapportOXFAM_BanquesetClimat_vF.pdf,tCO2e / €m invested,535
Crédit Agricole,Bank,2020,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2021/10/rapportOXFAM_BanquesetClimat_vF.pdf,tCO2e / €m invested,519
BPCE,Bank,2020,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2021/10/rapportOXFAM_BanquesetClimat_vF.pdf,tCO2e / €m invested,423
La Banque Postale,Bank,2020,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2021/10/rapportOXFAM_BanquesetClimat_vF.pdf,tCO2e / €m invested,388
Crédit Mutuel,Bank,2020,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2021/10/rapportOXFAM_BanquesetClimat_vF.pdf,tCO2e / €m invested,387
La Nef,Specialised Credit Institution,2020,Carbon4 Finance,https://www.lanef.com/actualites/la-nef-letablissement-financier-au-plus-faible-impact-carbone-en-france/,tCO2e / €m invested,121
Crédit coopératif,Bank,2021,Carbon4 Finance,https://www.credit-cooperatif.coop/votre-banque/a-la-une/credit-cooperatif-plus-faible-impact-carbone/,tCO2e / €m invested,120